PHONE,IMEI1,IMEI2,TYPE,START,END,IMSI,TOWER,LATITUDE,LONGITUDE,OPERATORS
8747599002,782385973817325,874768647799101,CALLOUT,2009-08-26 14:08:43,2009-08-26 15:18:53,801988747599002,39162898,-14.233622,131.345221,Airtel
9221055674,428188015126455,922114788455773,CALLOUT,2009-09-21 13:17:44,2009-09-21 14:32:53,402799221055674,25642180,-28.344955,131.1713,Jio
8755593360,782385973817325,875568091593459,CALLIN,2009-10-31 16:48:45,2009-10-31 18:17:15,183458755593360,90516824,-27.110392,128.870771,Airtel
7333413523,319453834856710,733348685713622,CALLIN,2009-12-02 00:18:41,2009-12-02 01:17:14,253947333413523,60570470,-23.386652,127.873524,Jio
6271495742,319453834856710,627155845695841,CALLOUT,2009-12-05 05:57:44,2009-12-05 06:06:35,491826271495742,14290462,-24.017378,128.359409,Jio
9597971881,428188015126455,959806786071980,CALLOUT,2009-12-08 08:10:36,2009-12-08 09:11:33,736269597971881,33255656,-18.820864,132.581313,Vodafone
8747599002,319453834856710,874768647799101,SMSOUT,2009-12-23 05:57:09,2009-12-23 05:57:09,995278747599002,92090940,-28.360483,134.494499,Jio
7056712394,428188015126455,705678296112394,SMSIN,2010-01-10 13:18:45,2010-01-10 13:18:45,328097056712394,68673275,-25.475616,136.750777,Jio
8443693453,782385973817325,844377788993453,CALLIN,2010-02-25 13:20:09,2010-02-25 13:53:01,749328443693453,22201892,-21.201854,138.310392,Vodafone
6853797419,319453834856710,685386595697419,CALLOUT,2010-10-06 13:34:49,2010-10-06 14:19:27,332396853797419,73613759,-26.23094,130.925836,Airtel
9597971881,782385973817325,959806786071881,SMSOUT,2010-10-22 02:34:44,2010-10-22 02:34:44,944679597971881,82639641,-30.031059,127.177601,BSNL
7240277149,319453834856710,724034955177149,SMSIN,2010-11-16 20:11:22,2010-11-16 20:11:22,786877240277149,62339247,-22.315679,127.816703,Jio
8755593360,319453834856710,875568091593360,SMSOUT,2010-12-24 02:03:03,2010-12-24 02:03:03,679808755593360,94196343,-30.312039,132.602328,Airtel
9221055674,319453834856710,922114788455674,SMSOUT,2011-02-10 17:49:59,2011-02-10 17:49:59,551589221055674,26374814,-31.207173,125.142635,Jio
6017882461,782385973817325,601794263982461,SMSIN,2011-03-24 16:23:13,2011-03-24 16:23:13,128076017882461,89824243,-31.694883,134.204548,Jio
8730763759,319453834856710,873085106663759,SMSOUT,2011-05-12 15:11:35,2011-05-12 15:11:35,424078730763759,26347872,-22.900662,130.415079,Airtel
7621300415,782385973817325,762137662800415,SMSOUT,2011-07-29 04:55:57,2011-07-29 04:55:57,814867621300415,94877801,-26.17535,128.798489,BSNL
6017882461,782385973817325,601794263982461,SMSIN,2011-09-07 08:08:05,2011-09-07 08:08:05,607676017882461,83036617,-20.384369,126.679302,Idea
6789998519,319453834856710,679006641898519,CALLIN,2011-09-11 19:38:56,2011-09-11 21:08:09,539026789998519,75661727,-39.197111,125.404079,Vodafone
6017882461,319453834856710,601794263982461,CALLOUT,2011-09-18 03:22:29,2011-09-18 04:17:35,928376017882461,32839177,-23.23125,129.725259,Idea
8443693453,782385973817325,844377788993453,CALLIN,2011-10-22 09:24:42,2011-10-22 09:44:48,792698443693453,84674590,24.396612,53.404367,Airtel
8755593360,782385973817325,875568091593360,CALLIN,2011-11-15 02:05:16,2011-11-15 03:31:24,378008755593360,63526033,23.588327,55.502622,Idea
9221055674,319453834856710,922114788455674,SMSOUT,2012-01-10 00:52:44,2012-01-10 00:52:44,347059221055674,46821277,27.329663,55.686754,Airtel
7616998625,782385973817325,761707479498625,CALLIN,2012-01-10 13:03:56,2012-01-10 13:05:33,662377616998625,92083343,27.030162,57.450168,Airtel
9597971881,319453834856710,959806786071881,SMSIN,2012-01-12 00:47:31,2012-01-12 00:47:31,890409597971881,19966542,29.36197,58.774063,BSNL
6017882461,319453834856710,601794263982461,SMSOUT,2013-01-24 04:12:18,2013-01-24 04:12:18,465836017882461,32331095,19.335673,59.307017,Idea
7616998625,428188015126455,761707479498625,CALLIN,2013-03-11 12:02:58,2013-03-11 12:16:13,327747616998625,35264361,22.514999,54.803431,Vodafone
6002981005,782385973817325,600304103481005,CALLOUT,2013-04-04 06:49:00,2013-04-04 07:58:03,369086002981005,82493825,20.853948,58.864291,Idea
8443693453,319453834856710,844377788993453,CALLIN,2013-05-25 18:23:22,2013-05-25 19:46:57,177058443693453,14515935,24.073409,57.071246,Jio
8443693453,319453834856710,844377788993453,SMSOUT,2013-07-11 11:12:06,2013-07-11 11:12:06,490188443693453,46856495,20.987303,65.400552,BSNL
7695301133,428188015126455,769537808601133,SMSIN,2013-07-21 10:28:43,2013-07-21 10:28:43,742577695301133,13906638,29.931649,50.289464,Vodafone
6853797419,319453834856710,685386595697419,CALLOUT,2013-09-04 19:44:32,2013-09-04 20:25:52,807036853797419,83643951,22.958909,53.402549,BSNL
8348966680,782385973817325,834905016966680,CALLIN,2013-11-18 02:59:20,2013-11-18 03:47:20,736438348966680,76498375,20.708838,57.229323,Idea
7095803759,319453834856710,709587471703759,CALLOUT,2013-11-25 09:18:32,2013-11-25 09:32:26,694537095803759,98858748,19.64122,65.090809,Vodafone
