PHONE,IMEI1,IMEI2,TYPE,START,END,IMSI,TOWER,LATITUDE,LONGITUDE,OPERATORS
9563364049,639454717974236,956345968264148,CALLIN,2015-05-13 04:05:41,2015-05-13 04:23:51,430649563364049,74699642,20.161601,72.70076,Vodafone
6642646326,639454717974236,664271275246425,SMSIN,2015-05-21 00:43:41,2015-05-21 00:43:41,212726642646326,26180760,18.993759,71.580275,Jio
6877172043,202822860821352,687724081472142,SMSOUT,2015-06-19 19:48:32,2015-06-19 19:48:32,895176877172043,33565888,20.146979,71.313393,Idea
7247907120,639454717974236,724797959907219,CALLOUT,2015-08-23 05:19:31,2015-08-23 05:31:03,186347247907120,92543751,19.009801,72.051568,BSNL
7247907120,202822860821352,724797959907219,SMSIN,2015-09-24 01:56:55,2015-09-24 01:56:55,452707247907120,49522904,18.586021,70.331799,Vodafone
8692285849,732635171129383,869237277185948,SMSIN,2015-09-27 19:14:20,2015-09-27 19:14:20,749818692285849,88365228,19.215144,72.372843,Idea
7247907120,639454717974236,724797959907219,SMSIN,2015-10-02 10:22:25,2015-10-02 10:22:25,469257247907120,86449556,20.267312,71.388816,Airtel
6642646326,732635171129383,664271275246326,SMSIN,2015-10-13 18:50:53,2015-10-13 18:50:53,331936642646326,28045953,20.164709,71.677386,Vodafone
7706494386,202822860821352,770657145094386,CALLIN,2015-10-30 01:08:59,2015-10-30 01:51:29,806247706494386,63374389,20.678801,71.625826,Idea
7244428887,639454717974236,724450133128887,SMSOUT,2016-01-12 06:26:20,2016-01-12 06:26:20,685927244428887,48796914,19.969126,72.409263,Jio
7706494386,202822860821352,770657145094386,SMSOUT,2016-02-01 09:01:42,2016-02-01 09:01:42,884927706494386,12308054,20.131732,71.559858,Vodafone
8783896509,202822860821352,878398434796509,SMSIN,2016-03-22 00:44:23,2016-03-22 00:44:23,347478783896509,27046078,20.357764,72.452164,BSNL
9380479101,202822860821352,938057290579101,CALLOUT,2016-03-30 21:27:07,2016-03-30 22:37:28,705929380479101,97822078,19.78941,72.439125,Vodafone
8711727231,202822860821352,871181434827231,SMSIN,2016-06-06 09:53:52,2016-06-06 09:53:52,941558711727231,55411332,20.805358,71.401901,Airtel
9380479101,639454717974236,938057290579101,CALLOUT,2016-07-18 11:20:34,2016-07-18 12:38:24,350369380479101,92026117,19.560558,72.826299,Idea
7502043345,732635171129383,750211836543345,SMSOUT,2016-09-01 04:15:36,2016-09-01 04:15:36,359617502043345,79177768,18.816469,72.671194,Vodafone
6642646326,732635171129383,664271275246326,SMSIN,2016-09-10 06:56:34,2016-09-10 06:56:34,290216642646326,15247275,18.376864,70.347183,Idea
9931312250,732635171129383,993141156312250,SMSOUT,2016-09-22 18:06:33,2016-09-22 18:06:33,728819931312250,72212429,18.387971,71.358052,Vodafone
9563364049,202822860821352,956345968264049,CALLOUT,2016-10-01 06:14:11,2016-10-01 07:10:44,244299563364049,31689730,19.22456,70.148433,Jio
9931312250,202822860821352,993141156312250,CALLOUT,2016-10-11 05:00:58,2016-10-11 05:11:10,424139931312250,11434197,18.534988,72.113407,Vodafone
7741612341,202822860821352,774168975712341,SMSOUT,2016-10-30 21:41:09,2016-10-30 21:41:09,576157741612341,21309967,28.850603,77.192607,Idea
6617854170,732635171129383,661792034854170,CALLOUT,2016-11-30 11:00:09,2016-11-30 12:23:38,499056617854170,61942631,29.323051,76.324527,Airtel
9922544208,732635171129383,992264343344208,SMSIN,2016-12-04 12:24:02,2016-12-04 12:24:02,814329922544208,21079545,27.713166,76.942668,Airtel
7706494386,639454717974236,770657145094386,CALLIN,2016-12-20 03:33:35,2016-12-20 03:51:48,243977706494386,17530829,27.584963,77.616595,Airtel
8711727231,639454717974236,871181434827231,SMSIN,2017-01-17 00:03:57,2017-01-17 00:03:57,484908711727231,66690710,28.377108,77.121427,Jio
8589153844,732635171129383,858923973553844,CALLOUT,2017-02-21 12:27:13,2017-02-21 13:27:01,299798589153844,56465942,27.584197,76.268373,BSNL
7706494386,202822860821352,770657145094386,SMSIN,2017-04-04 00:58:29,2017-04-04 00:58:29,686557706494386,69728904,27.661111,76.572949,BSNL
8711727231,732635171129383,871181434827231,SMSIN,2017-04-04 22:56:23,2017-04-04 22:56:23,749808711727231,31924595,27.370308,76.943153,Idea
7367558669,732635171129383,736763234458669,SMSOUT,2017-04-30 01:24:51,2017-04-30 01:24:51,450457367558669,58412084,28.253011,77.131329,Vodafone
8126974109,639454717974236,812705537874109,CALLOUT,2017-05-04 18:15:35,2017-05-04 19:19:53,291228126974109,38145761,28.316947,76.820472,Idea
